,age,weight(kg),height(m),gender,BMI,BMR,activity_level,calories_to_maintain_weight,B1I_tags,Label,height(new)
1,2,16,0.932,0,19,958.6,1.2,1150,8,13,93
2,4,15,0.917,0,17,932.4,1.7,1585,7,1,92
4,4,18,0.997,0,18,977.6,1.9,1857,7,4,100
6,3,14,1.023,0,13,944.7,1.9,1795,7,3,102
8,4,17,1.054,1,15,799.2,1.9,1519,7,0,105
10,3,12,1.079,0,10,939.8,1.9,1786,7,3,108
13,2,18,1.070,1,16,831.4,1.9,1580,7,1,107
15,3,16,0.912,0,19,947.6,1.3,1232,8,13,91
19,3,13,1.069,0,12,950.3,1.7,1615,7,1,107
21,4,16,0.901,0,19,938.2,1.3,1220,8,13,90
22,4,18,0.969,1,19,763.3,1.3,992,8,12,97
23,5,15,0.920,0,18,935.0,1.7,1589,7,1,92
24,3,18,1.035,0,17,987.4,1.9,1876,7,4,103
27,4,14,0.870,0,18,914.1,1.9,1737,7,2,87
28,5,12,0.976,0,13,914.8,1.7,1555,7,1,98
29,2,14,1.027,0,13,955.8,1.9,1816,7,3,103
35,4,15,0.882,1,20,691.6,1.7,1176,8,13,88
39,3,14,0.922,0,16,929.5,1.7,1580,7,1,92
46,3,16,1.053,1,15,793.3,1.9,1507,7,0,105
47,5,14,1.053,0,13,944.9,1.7,1606,7,1,105
49,3,17,0.920,0,20,959.5,1.3,1247,8,13,92
57,2,13,1.005,0,13,938.7,1.7,1596,7,1,100
58,5,17,1.016,0,17,971.1,1.7,1651,7,2,102
64,3,16,0.893,0,21,949.8,1.5,1425,8,14,89
67,4,17,0.962,0,18,963.9,1.9,1831,7,3,96
68,2,17,0.872,1,23,724.0,1.9,1376,8,14,87
70,4,15,0.876,1,19,678.6,1.7,1154,8,13,88
79,4,17,1.076,0,15,982.8,1.9,1867,7,4,108
84,4,17,0.980,0,18,965.5,1.9,1834,7,3,98
85,4,12,0.941,0,14,912.9,1.9,1734,7,2,94
86,3,18,1.052,0,16,989.6,1.7,1682,7,2,105
91,4,17,1.028,0,16,976.8,1.7,1661,7,2,103
