,age,weight(kg),Height(m),gender,BMI,BMR,activity_level,calories_to_maintain_weight,B2I_tags,Label,height(cm)
,2,16,0.932,0,19,959,1.2,1150,8,13,93
,4,15,0.917,0,17,932,1.7,1585,7,1,92
,4,18,0.997,0,18,978,1.9,1857,7,4,100
,3,14,1.023,0,13,945,1.9,1795,7,3,102
,4,17,1.054,1,15,799,1.9,1519,7,0,105
,3,12,1.079,0,10,940,1.9,1786,7,3,108
,2,18,1.07,1,16,831,1.9,1580,7,1,107
,3,16,0.912,0,19,948,1.3,1232,8,13,91
,3,13,1.069,0,12,950,1.7,1615,7,1,107
,4,16,0.901,0,19,938,1.3,1220,8,13,90
,4,18,0.969,1,19,763,1.3,992,8,12,97
,5,15,0.92,0,18,935,1.7,1589,7,1,92
,3,18,1.035,0,17,987,1.9,1876,7,4,104
,4,14,0.87,0,18,914,1.9,1737,7,2,87
,5,12,0.976,0,13,915,1.7,1555,7,1,98
,2,14,1.027,0,13,956,1.9,1816,7,3,103
,4,16,0.882,1,20,692,1.7,1176,8,13,88
,3,14,0.922,0,16,929,1.7,1580,7,1,92
,3,16,1.053,1,15,793,1.9,1507,7,0,105
,5,14,1.053,0,13,945,1.7,1606,7,1,105
,3,17,0.92,0,20,960,1.3,1247,8,13,92
,2,13,1.005,0,13,939,1.7,1596,7,1,101
,5,17,1.016,0,17,971,1.7,1651,7,2,102
,3,16,0.893,0,21,950,1.5,1425,8,14,89
,4,17,0.962,0,18,964,1.9,1831,7,3,96
,2,17,0.872,1,23,724,1.9,1376,8,14,87
,4,15,0.876,1,19,679,1.7,1154,8,13,88
,4,17,1.076,0,15,983,1.9,1867,7,4,108
,4,17,0.98,0,18,965,1.9,1834,7,3,98
,4,12,0.941,0,14,913,1.9,1734,7,2,94
,3,18,1.052,0,16,990,1.7,1682,7,2,105
,4,17,1.028,0,16,977,1.7,1661,7,2,103
,2,14,0.862,1,19,680,1.5,1020,8,12,86
,4,14,0.915,0,17,930,1.9,1767,7,3,92
,2,18,0.942,0,20,974,1.2,1169,8,13,94
,5,12,0.96,0,13,914,1.9,1736,7,2,96
,3,16,0.9,1,20,715,1.7,1215,8,13,90
,4,15,0.877,0,20,932,1.3,1211,8,13,88
,4,13,0.995,0,13,928,1.9,1764,7,3,100
,2,17,1.029,0,16,987,1.5,1481,7,0,103
,3,17,0.91,0,21,963,1.7,1637,8,15,91
,2,12,1.052,0,11,940,1.9,1786,7,3,105
,2,15,0.905,0,18,941,1.9,1788,7,3,91
,3,12,0.877,0,16,909,1.7,1545,7,0,88
,4,17,0.991,0,17,964,1.7,1639,7,1,99
,5,17,0.898,1,21,711,1.9,1351,8,14,90
,3,16,1.066,1,14,800,1.9,1520,7,0,107
,3,17,1.005,0,17,972,1.5,1459,7,0,101
,3,13,0.947,0,14,923,1.9,1755,7,3,95
,3,15,1.031,0,14,964,1.9,1831,7,3,103
,4,13,0.902,0,16,913,1.9,1734,7,2,90
,3,17,0.927,0,20,961,1.9,1826,8,16,93
,5,16,0.897,0,19,933,1.7,1585,8,15,90
,2,17,0.858,0,23,951,1.3,1236,8,13,86
,5,17,0.96,0,19,960,1.5,1441,8,14,96
,5,17,0.946,0,19,959,1.5,1438,8,14,95
,3,16,0.927,0,19,956,1.7,1625,8,15,93
,3,13,0.902,0,16,922,1.9,1753,7,3,90
,5,17,1,0,17,961,1.9,1826,7,3,100
,4,17,1.034,1,16,795,1.9,1510,7,0,103
,4,15,0.884,1,20,691,1.7,1174,8,13,88
,3,12,1.06,0,11,938,1.9,1781,7,3,106
,4,14,0.975,0,15,936,1.7,1591,7,1,98
,4,12,0.897,0,15,905,1.9,1719,7,2,90
,4,15,0.86,0,20,923,1.9,1754,8,16,86
,4,17,1.045,1,16,794,1.9,1508,7,0,105
,4,12,1.063,0,11,935,1.9,1776,7,3,106
,3,15,0.862,1,21,687,1.7,1168,8,13,86
,3,13,0.901,0,16,919,1.9,1747,7,2,90
,2,17,0.879,1,22,721,1.7,1225,8,13,88
,4,16,1.06,0,14,966,1.7,1641,7,1,106
,3,17,1.036,1,15,789,1.9,1500,7,0,104
,4,14,1.078,1,12,768,1.9,1459,7,0,108
,5,13,0.887,0,16,906,1.9,1721,7,2,89
,3,14,0.903,0,17,928,1.9,1763,7,3,90
,3,15,1.031,0,14,964,1.7,1638,7,1,103
,3,17,0.861,0,23,954,1.3,1240,8,13,86
,3,16,1,0,16,966,1.9,1836,7,3,100
,3,14,1.021,0,14,951,1.9,1807,7,3,102
,3,13,0.874,0,17,915,1.7,1555,7,1,87
,2,17,0.929,0,19,964,1.5,1446,8,14,93
,4,18,1.034,1,16,797,1.9,1514,7,0,103
,3,15,0.867,0,20,933,1.3,1212,8,13,87
,4,15,0.901,0,19,934,1.5,1402,8,14,90
,5,13,0.986,0,13,923,1.7,1569,7,1,99
,4,16,0.889,0,20,939,1.7,1596,8,15,89
,3,16,1.067,0,14,972,1.9,1847,7,3,107
,3,15,0.95,0,16,943,1.9,1791,7,3,95
,3,15,1.05,0,14,967,1.5,1450,7,0,105
,2,18,0.954,1,19,770,1.5,1155,8,13,95
,4,12,0.877,0,16,904,1.9,1718,7,2,88
,4,18,0.887,0,22,956,1.9,1817,8,16,89
,5,15,1.048,0,13,951,1.9,1808,7,3,105
,3,18,0.978,0,18,975,1.5,1463,7,0,98
,5,16,0.903,0,19,937,1.3,1218,8,13,90
,2,15,0.864,1,19,683,1.5,1024,8,12,86
,3,16,0.908,0,19,947,1.7,1610,8,15,91
,4,15,1.037,0,14,958,1.7,1628,7,1,104
,5,12,0.965,0,13,913,1.7,1552,7,1,97
,3,16,1.038,0,15,973,1.5,1459,7,0,104
,3,18,0.89,1,22,732,1.7,1245,8,13,89
,3,17,1.035,0,16,981,1.7,1667,7,2,104
,2,15,0.886,0,19,939,1.7,1596,8,15,89
,3,17,0.865,0,23,954,1.9,1812,8,16,87
,4,18,1.047,0,16,986,1.7,1676,7,2,105
,3,13,1.076,0,11,946,1.9,1797,7,3,108
,4,15,1.009,0,15,951,1.9,1807,7,3,101
,5,18,0.856,0,24,949,1.9,1802,8,16,86
,4,18,0.968,0,19,970,1.7,1648,8,15,97
,4,18,1.018,1,17,787,1.9,1495,7,0,102
,5,18,0.874,1,23,710,1.7,1207,8,13,87
,5,16,1.048,1,14,774,1.9,1470,7,0,105
,4,18,0.864,0,24,955,1.9,1814,8,16,86
,3,13,1.027,0,12,940,1.7,1598,7,1,103
,4,15,0.874,0,19,924,1.7,1570,8,15,87
,4,17,0.943,0,20,963,1.7,1637,8,15,94
,4,12,1.015,0,12,924,1.7,1571,7,1,102
,4,15,0.87,1,20,680,1.5,1020,8,12,87
,4,15,0.867,0,20,928,1.3,1206,8,13,87
,3,15,1.004,0,15,954,1.7,1622,7,1,100
,3,17,1.068,0,15,984,1.5,1476,7,0,107
,4,15,1.066,1,13,772,1.9,1467,7,0,107
,5,16,0.903,0,19,936,1.3,1217,8,13,90
,2,16,1.052,0,15,979,1.9,1861,7,4,105
,2,17,0.861,1,22,711,1.7,1208,8,13,86
,3,17,0.892,0,21,952,1.7,1619,8,15,89
,4,13,0.87,0,17,906,1.9,1722,7,2,87
,2,17,1.018,1,16,787,1.9,1496,7,0,102
,4,14,1.036,0,13,949,1.9,1804,7,3,104
,4,14,1.027,0,14,949,1.9,1802,7,3,103
,3,17,0.934,0,20,964,1.5,1446,8,14,93
,4,15,0.95,0,17,943,1.7,1603,7,1,95
,3,17,0.97,0,18,964,1.9,1832,7,3,97
,4,14,0.931,0,17,932,1.9,1771,7,3,93
,4,15,0.891,0,19,929,1.3,1208,8,13,89
,4,17,0.964,0,18,965,1.9,1834,7,3,96
,5,14,0.957,0,15,924,1.7,1570,7,1,96
,5,15,0.996,0,15,943,1.9,1792,7,3,100
,3,13,0.959,0,14,929,1.7,1580,7,1,96
,3,18,0.86,1,24,720,1.7,1224,8,13,86
,3,16,0.87,1,20,693,1.5,1039,8,12,87
,3,12,0.888,0,16,911,1.9,1731,7,2,89
,4,14,0.888,0,18,924,1.7,1570,7,1,89
,4,12,0.961,0,13,918,1.9,1743,7,2,96
,4,14,0.931,0,16,925,1.7,1572,7,1,93
,5,14,0.91,0,16,917,1.7,1559,7,1,91
,2,16,1.038,0,15,974,1.5,1461,7,0,104
,4,18,1.042,0,16,985,1.7,1674,7,2,104
,2,18,0.888,0,22,965,1.7,1640,8,15,89
,4,14,0.977,0,14,933,1.7,1587,7,1,98
,5,14,1.001,0,14,935,1.7,1590,7,1,100
,3,17,0.942,0,19,963,1.2,1155,8,13,94
,3,16,0.903,0,20,951,1.5,1426,8,14,90
,4,15,0.869,1,20,682,1.5,1022,8,12,87
,4,17,0.925,0,20,957,1.3,1245,8,13,93
,3,15,0.871,0,19,930,1.5,1394,8,14,87
,4,16,0.89,0,20,943,1.3,1226,8,13,89
,4,18,0.888,0,22,957,1.3,1244,8,13,89
,5,16,0.908,0,19,936,1.5,1403,8,14,91
,4,15,1.078,0,13,961,1.7,1634,7,1,108
,2,18,0.934,0,20,972,1.2,1166,8,13,93
,4,15,0.882,0,19,926,1.9,1760,8,16,88
,4,16,1.027,0,15,965,1.9,1833,7,3,103
,2,17,1.02,0,17,984,1.9,1870,7,4,102
,2,17,0.99,0,17,976,1.5,1464,7,0,99
,2,16,1.005,0,16,969,1.5,1454,7,0,101
,2,14,0.859,1,19,678,1.5,1017,8,12,86
,3,13,0.992,0,13,936,1.9,1778,7,3,99
,4,14,0.959,0,15,935,1.9,1776,7,3,96
,4,18,0.942,0,20,964,1.5,1447,8,14,94
,2,15,0.869,0,20,941,1.3,1223,8,13,87
,3,14,0.885,0,18,923,1.9,1754,7,3,89
,3,16,1.021,0,15,965,1.9,1833,7,3,102
,5,13,0.87,0,18,907,1.7,1542,7,0,87
,3,17,0.964,0,18,969,1.5,1453,7,0,96
,4,17,0.95,0,19,962,1.2,1155,8,13,95
,3,16,0.874,0,21,945,1.5,1417,8,14,87
,2,12,1.015,0,12,934,1.7,1588,7,1,102
,3,13,1.032,0,12,938,1.9,1782,7,3,103
,2,16,0.925,1,19,733,1.3,954,8,12,93
,4,15,1.077,1,13,778,1.9,1479,7,0,108
,5,17,0.958,0,18,953,1.9,1811,7,3,96
,4,12,0.97,0,13,918,1.9,1744,7,2,97
,4,17,0.896,1,21,716,1.9,1361,8,14,90
,3,13,0.922,0,15,920,1.7,1564,7,1,92
,3,17,1.078,0,14,984,1.7,1673,7,2,108
,4,15,0.972,0,15,940,1.7,1598,7,1,97
,3,17,0.906,0,21,957,1.3,1244,8,13,91
,4,17,0.915,0,20,954,1.7,1622,8,15,92
,2,15,0.883,1,20,705,1.7,1198,8,13,88
,4,14,0.939,0,15,925,1.9,1758,7,3,94
,4,15,1.051,1,14,772,1.9,1467,7,0,105
,5,13,1.079,0,11,940,1.9,1785,7,3,108
,3,14,0.979,0,15,941,1.7,1600,7,1,98
,2,16,1.046,0,14,975,1.9,1852,7,4,105
,3,17,1.029,1,16,792,1.9,1505,7,0,103
,4,13,0.96,0,15,928,1.9,1764,7,3,96
,3,18,0.907,1,21,740,1.9,1405,8,14,91
,3,14,0.924,0,16,929,1.7,1579,7,1,92
,4,16,0.918,1,19,720,1.9,1369,8,14,92
,4,16,0.905,0,19,941,1.3,1224,8,13,91
,4,18,1.015,0,17,978,1.5,1467,7,0,102
,3,13,0.872,0,17,913,1.9,1735,7,2,87
